"tablescraper-selected-row","tablescraper-selected-row 2"
"C major","Innocence, happiness, spiritual openness"
"C minor","Innocence with sadness, heartbreak, yearning"
"C♯ minor","Passionate and deep: sorrow, grief, despair, self-punishment"
"D♭ major","Depression masked by an air of happiness, grief, despair"
"D major","Triumphant and victorious, like war marches or holiday songs"
"D minor","Serious and melancholic, evoking concern and contemplation"
"D♯ minor","Deep and anxious, evoking distress, terror, darkness, hesitation"
"E♭ major","Cruelty alongside devoted love, openness, intimacy"
"E major","Dissatisfaction and a ready-to-fight feeling, but also joy and delight"
"E minor","Restless love, grief, mournfulness"
"F major","Optimism and the will to break out"
"F minor","Dark and funereal: deepest depression, loss, misery"
"F♯ major","Conquest stories: relief, triumph, victory, clarity"
"F♯ minor","Resentment, discontent, lamentation, with a thread of hope"
"G major","Happy but serious, idyllic, poetic: calm, satisfaction, gratitude, peace"
"G minor","Discontent, uneasiness, failure, struggle"
"A♭ major","Death, eternity, judgment, darkness"
"A♭ minor","Wailing, suffocation, lamentation, struggle, negativity"
"A major","Joy, reciprocated love, satisfaction, optimism, trust, spirituality"
"A minor","Sad but tender"
"B♭ major","Joyful and cheerful: love, hope, optimism, peace"
"B♭ minor","Night, darkness, blasphemy, death, destiny"
"B major","Strength, wildness, passion, jealousy, fury, will to fight"
"B minor","Solitude, melancholy, patience, calm, acceptance"
