"icon href","icon href 2","icon href 3","rich-text","rich-text 2","rich-text 4","rich-text 5","rich-text href","rich-text href 2","rich-text 7","rich-text 9","rich-text 12","uni-article-video__aspect-image src","uni-article-video__duration-time"
"[object Object]","[object Object]","[object Object]","","","","","","","","","","",""
"","","","Today, we’re taking our next step with the release of Gemini 3.5 Live Translate, our latest audio model for live speech-to-speech translation.","The model automatically detects 70+ languages and generates smooth, natural-sounding translated speech that preserves the speakers' intonation, pacing and pitch. Unlike turn by turn systems that wait for the speaker to finish speaking before responding, 3.5 Live Translate generates speech continuously, balancing the trade-off between waiting for context to improve quality and translating immediately to stay in sync with the speaker. It delivers fluid audio without awkward pauses and stays just a few seconds behind the speaker throughout the session.","For developers in public preview via the  and","Gemini Live API","https://ai.google.dev/gemini-api/docs/live-api/live-translate","https://aistudio.google.com/live?model=gemini-3.5-live-translate-preview","For enterprises in private preview starting this month in","For everyone via Google Translate on  and","Build with 3.5 Live Translate","",""
"[object Object]","[object Object]","[object Object]","","","","","","","","","","https://i.ytimg.com/vi_webp/TNwKs39uSVk/default.webp","00:00"
"","","","Watch the Gemini Live API in action, enabling dubbing and simultaneous multi-language translation. Dive into the  or more  in the Gemini Cookbook.","By utilizing the Gemini Live API, developer platforms like , , , , and  enable developers to build and deploy voice translation apps with ease. These integrations handle the complex real-time media streaming infrastructure, so developers can focus on the user experience.","example code","demo","https://github.com/google-gemini/gemini-live-api-examples/tree/main/gemini-live-translate-livekit","https://github.com/google-gemini/gemini-live-api-examples","Fishjam","Pipecat","","",""
"[object Object]","[object Object]","[object Object]","","","","","","","","","","https://i.ytimg.com/vi_webp/16Y2DU6LJX4/default.webp","00:00"
"","","","In addition to Grab, companies like CJ ENM, LiveKit and others have shared positive feedback on 3.5 Live Translate highlighting its impressive translation quality, accuracy and low latency:","","","","","","","","Read the early reviews","",""
"[object Object]","[object Object]","","","","","","","","","","","",""
"","","","in Google Meet will soon use 3.5 Live Translate, improving the experience by:","We’re launching this update in private preview for select business Google Workspace customers starting this month, followed by a broader rollout later this year.","Offering 70+ languages, an improvement from the previous limit of just five languages,","Speech translation","https://support.google.com/meet/answer/16221730?hl=en","","Enabling conversations across over 2000+ language combinations in one meeting, expanding from the previous state of only translating to and from English,","Updating the interface to provide instant access to speech translation.","Experience 3.5 Live Translate in your video meetings","",""
"[object Object]","[object Object]","[object Object]","","","","","","","","","","https://storage.googleapis.com/gweb-uniblog-publish-prod/images/FINAL_Speech_translation_demo_vid.width-100.format-webp.webp","00:00"
"","","","The model is also rolling out on the Google Translate app globally, on both  and . When using the Live translate feature, simply connect any pair of headphones to experience a more seamless translation that mirrors the speaker’s tone across 70+ languages.","For Android users, we’re also starting to roll out a new ‘listening mode’ with 3.5 Live Translate that lets you hear translations directly through your phone’s earpiece. Simply hold your phone to your ear just like a regular call, and the translated audio streams straight to you. This new experience can be helpful in situations where you want to quickly hear translations without others hearing, and you don’t have your headphones handy.","iOS","Android","https://play.google.com/store/apps/details?id=com.google.android.apps.translate","https://apps.apple.com/us/app/google-translate/id414706506","","","Get 3.5 Live Translate in the Google Translate app on Android or iOS","",""
"[object Object]","","","Using the new listening mode, users can hear a near real-time English translation of a guided tour in Spanish directly through their phone's earpiece.","","","","","","","","","",""
"","","","All audio generated by our models is watermarked with SynthID. This imperceptible watermark is woven directly into the audio output, ensuring AI-generated content remains detectable to help prevent misinformation. For details on our approach to safety and responsibility, review the .","","","model card","https://deepmind.google/models/model-cards/gemini-3-5-audio/","","","","Watermarked with SynthID","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
