"tablescraper-selected-row","tablescraper-selected-row href","tablescraper-selected-row 2","tablescraper-selected-row href 2","tablescraper-selected-row 3","tablescraper-selected-row href 3","tablescraper-selected-row 4","tablescraper-selected-row href 4","tablescraper-selected-row 5","tablescraper-selected-row href 5","tablescraper-selected-row 6","tablescraper-selected-row href 6","tablescraper-selected-row 7","tablescraper-selected-row href 7","tablescraper-selected-row 8","tablescraper-selected-row href 8","tablescraper-selected-row 9","tablescraper-selected-row href 9","tablescraper-selected-row 10","tablescraper-selected-row href 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 18","tablescraper-selected-row 23"
"Free Online Legal Information - Popular Resources","https://www.law.gmu.edu/library/freelegalresearch#Free_Online_Legal_Information__Popular_Resources_1","Search Engines","https://www.law.gmu.edu/library/freelegalresearch#Search_Engines_2","Free Online Legal Research – Resources Available by Information Type","https://www.law.gmu.edu/library/freelegalresearch#Free_Online_Legal_Research_ndash_Resources_Available_by_Information_Typenbsp_3","State Law","https://www.law.gmu.edu/library/freelegalresearch#State_Law_4","International and Foreign Law","https://www.law.gmu.edu/library/freelegalresearch#International_and_Foreign_Law_5","Journal Articles","https://www.law.gmu.edu/library/freelegalresearch#Journal_Articles_6","Dictionaries & Encyclopedias","https://www.law.gmu.edu/library/freelegalresearch#Dictionaries_amp_Encyclopedias_7","Legal News and Blogs","https://www.law.gmu.edu/library/freelegalresearch#Legal_News_and_Blogs_8","Research Guides","https://www.law.gmu.edu/library/freelegalresearch#Research_Guides_9","Low Cost Mobile Apps & Databases","https://www.law.gmu.edu/library/freelegalresearch#Low_Cost_Mobile_Apps_amp_Databasesnbsp_10","","","","","","","",""
"Free Online Legal Information - Popular Resources","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Provides access to all U.S. official published case law from 1658 to June 2018.","https://case.law/","(Harvard Law)","http://lp.findlaw.com/","Case Law Access Project","https://www.govinfo.gov/","(Thomson Reuters) Includes case law, case summaries, statutes, legal search engine, legal news, RSS court updates, and practice information.","https://guides.loc.gov/law-library","FindLaw for Legal Professionals","http://www.justia.com/","Access to official Federal Government publications, including authenticated PDF documents.","https://www.lawguru.com/","(Govinfo","https://law.stackexchange.com/","Government Publishing Office","http://www.law.cornell.edu/",")","https://www.ilrg.com/","(Law Library of Congress) Annotated Portal containing selected links to United States, Foreign, and International law resources, many offering primary, full-text legal materials.","http://www.plol.org/Pages/Search.aspx","Guide to Law Online","Includes case law, statutes, regulations, articles, opinion summaries (newsletter), and limited access to Federal District Court dockets.","Justia","Free legal advice forum with a network of more than 8,000 specialized attorneys in all legal areas","Law Guru","Question-and-answer forum for legal professionals, students, and others with an interest in law","(Cornell University Law School) Provides primary legal materials, legal encyclopedia, and the Supreme Court Bulletin.","Public Library of Law"
"Search Engines","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"These sources limit Web-searching to law-specific resources.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Legal research search engine with free access to Federal and State case law","https://www.anylaw.com/","Search","http://www.usa.gov/","AnyLaw","http://www.worldlii.org/","Search Federal and State legal opinions and journals.","","Ravel Law","http://scholar.google.com/","(Justia) (  >  > Legal Web Search","http://www.justia.com/","Justia","http://www.justia.com/search.py","USA.gov","https://www.ravellaw.com/search","Search federal and state government websites.","","Search a comprehensive collection of United States case law","http://www.justia.com/search.py?q=+more%3Alegalweb&cx=001017683474852908061:ghxovtgkt-8&cof=FORID%3A11","Search engine with links to over 15,000 law-related websites all over the world.","World Legal Information Institute","Google Scholar","","","","","Legal Web Search"
"Free Online Legal Research – Resources Available by Information Type","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federal Law","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United States Constitution","https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/about-this-collection/#__utma=54396525.2087617063.1334080499.1334080499.1334080499.1&__utmb=54396525.2.10.1334080499&__utmc=54396525&__utmx=-&__utmz=54396525.1334080499.1.1.utmcsr=lib.law.washington.edu|utmcc","(Library of Congress) Find documents from the Continental Congress and Constitutional Convention (1774-1789), includes images of original documents and related materials.","http://press-pubs.uchicago.edu/founders/","American Memory","https://www.govinfo.gov/collection/constitution-annotated","Founder’s Constitution","http://www.law.cornell.edu/constitution/","Govinfo","http://www.archives.gov/exhibits/charters/constitution.html","LII","","(University of Chicago Press) Provides links to historical documents related to the development of the Constitution.","","National Archives","","(U.S. GPO) Constitution of the United States of America: Analysis and Interpretation (Historical 1992-).","","CRS Annotated Constitution Prepared by the Congressional Research Service.","","","Images of original documents and historical information.","","","","","",""
"United States Code","https://www.govinfo.gov/app/collection/USCODE","(1994-) Authenticated PDFs.  Note that official Code is print edition published by the Government Printing Office.","http://www.law.cornell.edu/uscode/text","Govinfo","http://uscode.house.gov/","L","","Office of Law Revision Council","","","","Current and newly codified (preliminary release) legislation. Browse or search by citation.  Links to part of Code of Federal Regulations (CFR) for which statute provides rule making authority.","","II","","(U.S. House of Representatives) Prepares and publishes U.S. Code, provides searchable code (1988-), preliminary release Code, and tables.","","","","","","","","","","",""
