"button href","button__label","button href 2","button__label 2","rich-text","rich-text 2","rich-text 3","rich-text 4","rich-text 5","rich-text 6","rich-text 7","rich-text 8","rich-text 9","rich-text 10","rich-text 11","rich-text 12","rich-text href","rich-text href 2","rich-text href 3","rich-text href 4","rich-text href 5","rich-text 13","rich-text 14","rich-text 15","rich-text 16","rich-text 17"
"https://deepmind.google/models/gemini-audio/","Learn more","https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-5-Audio-Model-Card.pdf","View PDF version","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Model Cards are intended to provide essential information on Gemini models, including known limitations, mitigation approaches, and safety performance. Model cards may be updated from time-to-time; for example, to include updated evaluations as the model is improved or revised.","Published: June 2026","","","","","","","","","","","","","","","","","","","",""
"","","","","Gemini 3.5 Live Translate is a member of the Gemini series of models, a suite of highly-capable, natively multimodal reasoning models.","Gemini 3.5 Live Translate is based on Gemini 3 Pro.","Model Information","Description","Model dependencies","Inputs","Audio with a token context window of up to 128K.","Outputs","Audio and text, with up to 64K token output.","Architecture","Gemini 3.5 Live Translate is based on Gemini 3 Pro. For more information about the model architecture for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","model card","https://deepmind.google/models/model-cards/gemini-3-pro/?_gl=1*vmkc3h*_up*MQ..*_ga*MTE2NDIzMjcxNC4xNzczMTQ2MjY1*_ga_LS8HVHCNQ0*czE3NzMxNDYyNjQkbzEkZzAkdDE3NzMxNDYyNjQkajYwJGwwJGgw","","","","","","","","",""
"","","","","Gemini 3.5 Live Translate is based on Gemini 3 Pro. For more information about the training dataset for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","For more information about the training data processing for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","Model Data","Training Dataset","Training Data Processing","","","model card","","","","model card","https://deepmind.google/models/model-cards/gemini-3-pro/?_gl=1*vmkc3h*_up*MQ..*_ga*MTE2NDIzMjcxNC4xNzczMTQ2MjY1*_ga_LS8HVHCNQ0*czE3NzMxNDYyNjQkbzEkZzAkdDE3NzMxNDYyNjQkajYwJGwwJGgw","https://deepmind.google/models/model-cards/gemini-3-pro/?_gl=1*vmkc3h*_up*MQ..*_ga*MTE2NDIzMjcxNC4xNzczMTQ2MjY1*_ga_LS8HVHCNQ0*czE3NzMxNDYyNjQkbzEkZzAkdDE3NzMxNDYyNjQkajYwJGwwJGgw","","","","","","","",""
"","","","","Gemini 3.5 Live Translate is based on Gemini 3 Pro. For more information about the hardware for Gemini 3.5 Live Translate and our continued , see the Gemini 3 Pro .","Gemini 3.5 Live Translate is based on Gemini 3 Pro. For more information about the software for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","Implementation and Sustainability","Hardware","Software","model card","","model card","","","","commitment to operate sustainably","https://sustainability.google/operating-sustainably/","https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf","https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf","","","","","","",""
"","","","","Gemini 3.5 Live Translate is distributed in the following channels; respective documentation shared in line:","Our models are available to downstream providers via an Application Programming Interface (API) and subject to relevant terms of use. There is no required hardware or software to use the model. For AI Studio and Gemini API, see the . For more information, see .","Distribution","Google AI Studio","Gemini API","","Google Translate","Gemini Model API instructions","","","","Gemini API Additional Terms of Service","https://ai.google.dev/gemini-api/terms","https://ai.google.dev/gemini-api/docs/","https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid","https://aistudio-preprod.corp.google.com/live?model=gemini-3.5-live-translate-preview","https://ai.google.dev/gemini-api/docs/models","","","","",""
"","","","","Gemini 3.5 Live Translate was evaluated across three main quality dimensions: translation quality, latency, and speech naturalness.","Gemini 3.5 Live Translate was evaluated using internal implementations of these benchmarks on outputs generated using the Gemini Live API.","Evaluation","Approach","Capabilities / Benchmarks","Methodology","AutoMQM",": We evaluate translation quality using  - an error-based automatic metric which identifies and categorizes translation errors to produce a fine-grained quality score. These metrics are applied across a variety of language pairs and content types to assess the accuracy and adequacy of the translated output.","Translation Quality",": For a real-time translation system, latency (how far behind the translation lags during a live session) is a critical quality dimension. We measure latency at multiple granularities:","Latency",": the time between the start of speech in the input stream and the start of speech in the translated output stream. This is measured using standard voice activity detection.","","","https://aclanthology.org/2023.wmt-1.100/","","","Initial latency",": to capture the most complete picture of translation delay, we align words in the input to their corresponding words in the output and measure the average time between the end of a source word and the start of its corresponding translated word.","Word-level latency",": We evaluate the naturalness and quality of the synthesized output audio using established speech synthesis quality metrics. These capture issues such as choppy or discontinuous audio, voice drift (where the output voice characteristics shift over the course of a session), and unintended artifacts. Maintaining natural-sounding, consistent output audio is essential for a usable real-time translation experience.","Speech Naturalness"
"","","","","Gemini 3.5 Live Translate enables low-latency, real-time translation interactions. It processes continuous streams of audio to deliver immediate, human-like spoken responses, creating a natural translation experience for your users.","Gemini 3.5 Live Translate may exhibit some of the following limitations. Voices can be inconsistent, and voices may shift after long pauses, change gender, or get stuck on one voice during rapid multi-speaker sessions. Language detection can struggle with non-native accents, similar languages, or rapid language switches. Gemini 3.5 Live Translate is designed to filter out background noise, but not all background audio may be ignored. When set to echo the target language, background noise may introduce artifacts in the translated audio when input audio is in the target language.","Intended Usage and Limitations","Benefit and Intended Usage","Known Limitations","Acceptable Usage","For more information about the known limitations for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","model card","For more information about the acceptable usage for Gemini 3.5 Live Translate, see the Gemini 3 Pro .","","","model card","https://deepmind.google/models/model-cards/gemini-3-pro/?_gl=1*vmkc3h*_up*MQ..*_ga*MTE2NDIzMjcxNC4xNzczMTQ2MjY1*_ga_LS8HVHCNQ0*czE3NzMxNDYyNjQkbzEkZzAkdDE3NzMxNDYyNjQkajYwJGwwJGgw","https://deepmind.google/models/model-cards/gemini-3-pro/?_gl=1*vmkc3h*_up*MQ..*_ga*MTE2NDIzMjcxNC4xNzczMTQ2MjY1*_ga_LS8HVHCNQ0*czE3NzMxNDYyNjQkbzEkZzAkdDE3NzMxNDYyNjQkajYwJGwwJGgw","","","","","","","",""
"","","","","Ethics and Content Safety","Evaluation Approach","Gemini 3.5 Live Translate was developed in partnership with internal safety and responsibility teams. Evaluations conducted in alignment with  and , as well as Google's Generative AI policies (e.g., the  and the ).","Google's AI Principles","responsible AI approach","Gen AI Prohibited Use Policy","Gemini API Additional Terms of Service","Evaluation types included but were not limited to:","including automated and human evaluations carried out throughout and after the model’s training, to monitor its progress and performance;","Training/Development Evaluations","were conducted ahead of the model’s release including human evaluation of the final model to ensure the model adhere to safety policies.","Ethics & Safety Reviews","https://ai.google/responsibility/principles/","https://ai.google/static/documents/ai-responsibility-update-published-february-2025.pdf","https://policies.google.com/terms/generative-ai/use-policy?e=IdentityBoqPoliciesUiAITestKitchenSSAT::Launch,-IdentityBoqPoliciesUiBardSSAT::Launch,-IdentityBoqPoliciesUiGoodallSSAT::Launch,IdentityBoqPoliciesUiAdditionalAup::Launch","https://ai.google.dev/gemini-api/terms","https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3.pdf","Frontier Safety Assessment","Gemini 3.5 Live Translate is part of the Gemini 3 family of models. For frontier safety, we rely on our evaluation of Gemini 3.1 Pro with Deep Think mode as it is the most generally capable model as of publication of this model card, and it did not reach the Critical Capability Levels (CCLs) outlined in our . Our assessments have shown that Gemini 3.5 Live Translate is less capable than Gemini 3.1 Pro, therefore based on Gemini 3.1 Pro, we are confident that Gemini 3.5 Live Translate is also unlikely to reach any CCLs. For more information, read the .","Frontier Safety Framework","Gemini 3.1 Pro Model Card","Risks and Mitigations"
"https://deepmind.google/models/model-cards/lyria-3/","Learn more","https://deepmind.google/models/model-cards/gemini-3-1-pro/","Learn more","","","","","","","","","","","","","","","","","","","","","",""
