"post-card-image-link href","post-card-image src","post-card-tags","post-card-title","post-card-author","post-card-author href","post-meta-date 2","reading-time"
"https://blog.flat.io/how-to-transpose-music/","https://images.unsplash.com/photo-1544504729-982012fc43d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDEzMHx8bXVzaWMlMjBjb21wb3NlciUyMHxlbnwwfHx8fDE3Nzg3ODAzNjB8MA&ixlib=rb-4.1.0&q=80&w=600","Music & Composition","Transposition in music notation software: how it works","Rebeca Valverde","https://blog.flat.io/author/rebeca/","11 June 2026","9 min read"
"https://blog.flat.io/guitar-tab-vs-standard-notation/","https://images.unsplash.com/photo-1622820608546-cbd63d2af699?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDI0fHxndWl0YXIlMjB0YWJ8ZW58MHx8fHwxNzc4MDAwNjU2fDA&ixlib=rb-4.1.0&q=80&w=600","Music & Composition","Guitar tab vs standard notation: which one should you learn?","Rebeca Valverde","https://blog.flat.io/author/rebeca/","05 May 2026","5 min read"
"https://blog.flat.io/how-to-write-sheet-music-music-notes-explained/","https://blog.flat.io/content/images/size/w600/2025/09/Group-39416--3-.png","Music & Composition","How to write music notes: a beginner's guide to sheet music","Rebeca Valverde","https://blog.flat.io/author/rebeca/","20 May 2026","4 min read"
"https://blog.flat.io/how-to-write-music-sheet-dynamics/","https://blog.flat.io/content/images/size/w600/2025/08/Group-39385.png","Music & Composition","How to Write Sheet Music: Understanding Dynamics for Expressive Notation","Rebeca Valverde","https://blog.flat.io/author/rebeca/","14 May 2026","2 min read"
"https://blog.flat.io/music-notation-software-emotional-chord-progressions/","https://blog.flat.io/content/images/size/w600/2024/11/Frame-2245.png","Music & Composition","Emotional Chord Progressions: 7 Sequences for 7 Different Moods (with Chart)","Rebeca Valverde","https://blog.flat.io/author/rebeca/","12 May 2026","9 min read"
"https://blog.flat.io/modulation-in-music-harmonic-emotion-composition/","https://blog.flat.io/content/images/size/w600/2024/03/blog-cover---music-theory.jpg","Music & Composition","Evoke the Right Emotions: A Guide to Modulation in Music","Rebeca Valverde","https://blog.flat.io/author/rebeca/","15 May 2026","1 min read"
"https://blog.flat.io/what-is-beaming-in-music/","https://blog.flat.io/content/images/size/w600/2023/11/Blog-cover---beaming-in-music-1.jpg","Music & Composition","What is beaming in music?","Cyril Coutelier","https://blog.flat.io/author/cyril/","14 May 2026","4 min read"
"https://blog.flat.io/update-in-the-roman-numerals-input-system/","https://blog.flat.io/content/images/size/w600/2023/11/Blog-cover---understanding-roman-numerals.jpg","Music & Composition","Roman Numerals in Music: Definition, Chord Chart, and How to Read Them","Tutteo Team","https://blog.flat.io/author/team/","12 May 2026","8 min read"
"https://blog.flat.io/music-theory-hearing-intervals-part-66/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-5-1.jpg","Music&Composition - Music theory","Hearing Intervals - Part 6","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","2 min read"
"https://blog.flat.io/music-theory-5-on-6-hearing-intervals/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-2-1.jpg","Music&Composition - Music theory","Hearing Intervals - Part 5","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","2 min read"
"https://blog.flat.io/music-theory-4-on-6-hearing-intervals/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-4.jpg","Music&Composition - Music theory","Hearing Intervals - Part 4","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","2 min read"
