"wp-block-details","wp-block-details 2","wp-block-details 3","wp-block-details 4","wp-block-details href"
"1. What are LLPs?","Licensed legal paraprofessionals (“LLPs”) in Colorado are a new legal profession. Under court rules approved by the Colorado Supreme Court in March 2023, November 2023, and October 2025, paralegals and other legal paraprofessionals can apply for licensure to provide certain legal services in certain type of family law matters.","The Colorado Supreme Court’s lengthy process for determining the scope and details of the LLP program involved years of planning, a written public comment period, and a public hearing. The details of that process can be found .","here","https://www.coloradolegalregulation.com/aboutus/pals/"
"2A. What are LLPs be allowed to do?","governs the scope of an LLP’s practice of law in Colorado. LLPs can represent clients in: a legal separation, declaration of invalidity of marriage, or dissolution of a marriage/civil union, whether pre-decree or post-decree; establishing, enforcing and modifying child support; remedial contempt associated with that scope of practice; name changes; protective orders; adult gender designation changes; an initial allocation or modification of parental responsibilities; and two-party parentage cases. The rule’s text provides additional details about scope of practice. LLPs are able to advise those clients, prepare, draft and file documents in court, assist clients in mediation, appear at and fully represent clients in hearings, and fulfill steps ordinarily taken in such matters that are consistent with the Colorado Rules of Civil Procedure. Civil and ethical rules requiring lawyers to have a good-faith basis for their filings and statements apply to LLPs as well.","","C.R.C.P. 207.1","https://www.coloradolegalregulation.com/future-lawyers/rulesgoverningadmissions/"
"2B(1).Can an LLP handle a matter involving an expert?","Yes. There are no longer limitations on an LLP’s scope of practice in C.R.C.P. 207.1 specific to expert witnesses.","","",""
"2B(2).  Are there some situations that are too complex for an LLP to handle? And if an LLP is handling a matter in which a complex issue arises, what should an LLP and client do?","C.R.C.P. 207.1 has certain exclusions to an LLP’s scope of practice relating to complex legal issues. Also, Colo. LLP RPC 1.1 requires an LLP to ensure they are competent to represent the client on the matter at hand. Therefore, if an LLP is not competent to represent their client regarding a complex issue, the LLP is required to advise their client to seek advice or assistance from an attorney. Even if an LLP cannot handle a complex issue within a matter, C.R.C.P. 207.1(i) allows an LLP to continue to represent the client with respect to services an LLP is authorized to offer. A client may decide to retain an attorney for issues outside the scope of what an LLP can offer, and attorneys and LLP may work in tandem. If there are tasks or issues in the case that the LLP cannot address, the party’s options are to: (1) hire an attorney to address those issues while continuing to be represented by the LLP; (2) hire an attorney to replace the LLP; or (3) proceed by self-representation on the matters that are beyond the LLP’s allowable scope of practice, with or without the continued assistance of the LLP, as authorized.","","",""
"2C. Can an LLP handle a matter involving testimony?","Yes. C.R.C.P. 207.1 no longer restricts an LLP’s ability to elicit testimony from any witness. An LLP’s permissible activities include, under C.R.C.P. 207.1(g)(xiii) “standing or sitting at counsel table with the client during a court proceeding, communicating with the client during the proceeding, making statements, making offers of proof, examining any witness, making arguments and objections in court, answering questions posed by the court, addressing the court, taking notes, and assisting the client in understanding the proceeding and relevant orders[.]” While C.R.C.P. 207.1 does not specifically address depositions, LLPs’ ability to examine witnesses is not confined to courtrooms. Rule 207.1 also includes this Comment: “Descriptions of an LLP’s authorized scope of practice within this rule should be liberally construed to include all ordinary and reasonable actions within an authorized scope of practice, including procedural steps that are permitted by the Rules of Civil Procedure and are not expressly prohibited under this rule.”","","",""
"2D.  Are LLPs allowed to draft and file pleadings or motions without using the JDF forms?","Yes. C.R.C.P. 207.1(g)(iv) includes “preparing and completing documents using forms or templates approved by the Judicial Department or the Supreme Court or generally accepted by Colorado courts having jurisdiction over the matter, including proposed parenting plans, separation agreements, motions or stipulations for establishing or modifying child support, child support worksheets, proposed orders, nonappearance affidavits, discovery requests and answers to discovery requests, trial management certificates, pretrial submissions, and exhibit and witness lists…”  While a good practice is for an LLP to use JDF forms to ensure they will be accepted by the court, an LLP also can draft or rely on templates that have been previously accepted by courts which have the necessary elements for acceptance.","","",""
"2E. Can LLPs do other tasks or file other actions or motions other than those specifically listed in C.R.C.P. 207.1?","Yes. The Comment to C.R.C.P. 207.1 states: “Descriptions of an LLP’s authorized scope of practice within this rule should be liberally construed to include all ordinary and reasonable actions within an authorized scope of practice, including procedural steps that are permitted by the Rules of Civil Procedure and are not expressly prohibited under this rule.”","","",""
"3. What are LLPs prohibited from doing?","lists the types of discrete issues that an LLP cannot handle by themselves, and for those situations, a client needs to obtain the services of a licensed attorney or must handle the matter by themselves. An LLP still can assist in such situations under the supervision of a licensed attorney.","Here is the list of discrete issues outside the authorized scope of an LLP’s practice of law:","C.R.C.P. 207.1","https://www.coloradolegalregulation.com/future-lawyers/rulesgoverningadmissions/"
"4. What are LLPs able to do in court?","In addition to entering an appearance and filing pleadings and other documents in a court proceeding, LLPs are allowed to represent their clients in court hearings just like an attorney. They are able to speak in court, explain their client’s position, and tender exhibits. LLPs can examine and cross-examine witnesses, make offers of proof, object to the testimony of witnesses, and make legal arguments.","Under the LLP , LLPs are required to advise their clients about the limitations on their scope of practice.","ethics rules","https://www.cobar.org/For-Members/Opinions-Rules-Statutes/Legal-Paraprofessional-Rules-of-Professional-Conduct"
"5. How do members of the public know whether the legal professional is an LLP or a lawyer?","Under the , LLPs are required to identify themselves as such, including that they have only a limited license, in all advertising. LLPs also need to use the LLP designation in all court filings.  LLPs have six-digit registration numbers beginning with the number 6 (attorneys have five-digit registration numbers).","LLPs need to complete annual registration and comply with applicable continuing legal education requirements. Failure to do so will result in an administrative suspension of their licenses.","LLP ethics rules","https://www.cobar.org/For-Members/Opinions-Rules-Statutes/Legal-Paraprofessional-Rules-of-Professional-Conduct"
"6. For LLPs considering a solo practice or a firm with other LLPs, what do they need to do to ensure that they comply with Colo. LLP RPC 7.1(b)?","Pursuant to Colo. LLP , an LLP in a firm without lawyers must use the words “Licensed Legal Paraprofessional(s)” in the firm name.   LLPs also must not make a false or misleading communication about the LLP or the LLP’s services, which may require the assertion or disclosure of facts or statements to avoid materially misleading the public.  .  Therefore, an LLP could use the phrase “Licensed Legal Paraprofessional” or “Licensed Legal Paraprofessionals” in the firm name, but may need to disclose whether the LLP practices alone or with others on the LLP’s website or other advertising materials in order to avoid misleading the public if the number of practitioners appears to be inconsistent with the firm name.  While an LLP-only firm must include “Licensed Legal Paraprofessional(s)” in the business name, those precise words are not required to be included within the firm’s website URL or email address.","See","RPC 7.1(b)","https://www.cobar.org/For-Members/Opinions-Rules-Statutes/Legal-Paraprofessional-Rules-of-Professional-Conduct"
