source_url,source_url_citation,platform,platform_citation,feature_name,feature_name_citation,technical_instructions,technical_instructions_citation,platform_specific_capability,platform_specific_capability_citation,requirement_details,requirement_details_citation,crawl_depth_level,crawl_depth_level_citation,internal_link_context,internal_link_context_citation
https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,Android,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,Hear live speech to speech translations with Live translate,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,"## Use Live Translate with or without headphones

You can now use Live Translate with or without headphones on your phone or tablet. Make sure that your device is on the latest app version.

List of supported languages:

|     |     |     |
| --- | --- | --- |
| - Afrikaans<br>- Albanian<br>- Amharic<br>- Arabic<br>- Armenian<br>- Azerbaijani<br>- Basque<br>- Bengali<br>- Bulgarian<br>- Burmese (Myanmar)<br>- Catalan<br>- Chinese (Traditional)<br>- Croatian<br>- Czech<br>- Danish<br>- Dutch<br>- English<br>- Estonian<br>- Farsi<br>- Finnish<br>- French<br>- French (Canada)<br>- Galician<br>- Georgian<br>- German | - Greek<br>- Gujarati<br>- Hebrew<br>- Hindi<br>- Hungarian<br>- Icelandic<br>- Indonesian<br>- Italian<br>- Japanese<br>- Javanese<br>- Kannada<br>- Khmer<br>- Korean<br>- Lao<br>- Latvian<br>- Lithuanian<br>- Macedonian<br>- Malay<br>- Malayalam<br>- Marathi<br>- Mongolian<br>- Nepali<br>- Norwegian<br>- Persian<br>- Polish | - Portuguese<br>- Portuguese (Brazil)<br>- Punjabi<br>- Punjabi (Shahmukhi)<br>- Romanian<br>- Russian<br>- Serbian<br>- Sinhala<br>- Slovak<br>- Slovenian<br>- Spanish<br>- Sundanese<br>- Swahili<br>- Swedish<br>- Tagalog<br>- Tamil<br>- Telugu<br>- Thai<br>- Turkish<br>- Ukrainian<br>- Urdu<br>- Uzbek<br>- Vietnamese<br>- Zulu |

To listen to audio from a language you don't understand, connect your headphones to your mobile device and listen to real-time translations in your language.

1. Open the Translate app .

   - If you'd like to use Live translate with headphones on your Android phone or tablet, connect your headphones.
2. At the bottom, tap Live translate .
3. Select your desired Live translation mode and languages.
   - Live translation modes
     - **Listening:** Connect headphones or hold your phone to your ear to hear real-time translations.

     - **Conversation:** Translations play out loud on your phone speakers or headphones. Take turns speaking.

     - **Text only:** Read translations. No audio plays.

     - **Custom settings:** Allows you to choose between text only, speaker, or headphones (if connected).

**Tip:** The microphone automatically detects when one language stops and the other language starts.

4. To hear a translation, tap any part of the text.
5. To pause or resume translation, tap Speak  .
6. To exit translation, at the top, tap Back .

## Face to face mode

In the face to face mode, each speaker can view the transcription and translation of each of their own languages on each half of the screen.

1. To view translations in the face to face mode, tap Face to face .
2. To pause or resume translation, tap Speak .
3. To exit face to face mode, tap Close .

## Send feedback for Google Translate

1. In the Google Translate App, at the top right, tap Settings **Send feedback** **Get started**.
2. Enter your feedback.
3. Tap **Send**.",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,"2. At the bottom, tap Live translate .
3. Select your desired Live translation mode and languages.
   - Live translation modes
     - **Listening:** Connect headphones or hold your phone to your ear to hear real-time translations.

     - **Conversation:** Translations play out loud on your phone speakers or headphones. Take turns speaking.

     - **Text only:** Read translations. No audio plays.

     - **Custom settings:** Allows you to choose between text only, speaker, or headphones (if connected).

**Tip:** The microphone automatically detects when one language stops and the other language starts.

4. To hear a translation, tap any part of the text.
5. To pause or resume translation, tap Speak  .
6. To exit translation, at the top, tap Back .",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,Make sure that your device is on the latest app version.,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,1,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DAndroid,,
https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Desktop,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Hear live speech to speech translations with Live translate,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,"You can’t talk and translate at the same time on Google Translate for the web, but you can use the Translate app on a phone or tablet.

## Send feedback for Google Translate

1. On [Google translate](https://translate.google.com/) web app, at the top left, click **Menu** **Send Feedback**.
2. Enter your feedback.
3. Click **Send**.",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,"2. Enter your feedback.
3. Click **Send**.",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,,,1,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DDesktop&oco=0,,
https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,iOS,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,Hear live speech to speech translations with Live translate,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,"## Use Live Translate with or without headphones

You can now use Live Translate with or without headphones on your iPhone or iPad. Make sure that your device is on the latest app version.

List of supported languages:

|     |     |     |
| --- | --- | --- |
| - Afrikaans<br>- Albanian<br>- Amharic<br>- Arabic<br>- Armenian<br>- Azerbaijani<br>- Basque<br>- Bengali<br>- Bulgarian<br>- Burmese (Myanmar)<br>- Catalan<br>- Chinese (Traditional)<br>- Croatian<br>- Czech<br>- Danish<br>- Dutch<br>- English<br>- Estonian<br>- Farsi<br>- Finnish<br>- French<br>- French (Canada)<br>- Galician<br>- Georgian<br>- German | - Greek<br>- Gujarati<br>- Hebrew<br>- Hindi<br>- Hungarian<br>- Icelandic<br>- Indonesian<br>- Italian<br>- Japanese<br>- Javanese<br>- Kannada<br>- Khmer<br>- Korean<br>- Lao<br>- Latvian<br>- Lithuanian<br>- Macedonian<br>- Malay<br>- Malayalam<br>- Marathi<br>- Mongolian<br>- Nepali<br>- Norwegian<br>- Persian<br>- Polish | - Portuguese<br>- Portuguese (Brazil)<br>- Punjabi<br>- Punjabi (Shahmukhi)<br>- Romanian<br>- Russian<br>- Serbian<br>- Sinhala<br>- Slovak<br>- Slovenian<br>- Spanish<br>- Sundanese<br>- Swahili<br>- Swedish<br>- Tagalog<br>- Tamil<br>- Telugu<br>- Thai<br>- Turkish<br>- Ukrainian<br>- Urdu<br>- Uzbek<br>- Vietnamese<br>- Zulu |

To listen to audio from a language you don't understand, connect your headphones to your mobile device and listen to real-time translations in your language.

1. On the Translate app .

   - If you'd like to use Live translate with headphones on your iPhone or iPad, connect your headphones.
2. At the bottom, tap Live translate .
3. Select your desired Live translation mode and languages.
   - Live translation modes
     - **Listening:** Only available when headphones are connected. Connect headphones to hear real-time translations.

     - **Conversation:** Translations play out loud on your phone speakers or headphones. Take turns speaking.

     - **Text only:** Read translations. No audio plays.

     - **Custom settings:** Allows you to choose between text only, speaker, or headphones (if connected).

**Tip:** The microphone automatically detects when one language stops and the other language starts.

4. To hear a translation, tap any part of the text.
5. To pause or resume translation, tap Speak .
6. To exit translation, at the top, tap Back .

**Tip:** Some options may be greyed out depending if you have headphones. If you don’t have headphones connected, the “Listening” option is greyed out.

## Face to face mode

In the face to face mode, each speaker can view the transcription and translation of each of their own languages on each half of the screen.

1. To view translations in the face to face mode, tap Face to face .
2. To pause or resume translation, tap Speak .
3. To exit face to face mode, tap Close .

## Send feedback for Google Translate

1. In the Google Translate App, tap your Profile picture or Initial **Send feedback**.
2. Enter your feedback.
3. Tap **Send**.",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,"List of supported languages:

|     |     |     |
| --- | --- | --- |
| - Afrikaans<br>- Albanian<br>- Amharic<br>- Arabic<br>- Armenian<br>- Azerbaijani<br>- Basque<br>- Bengali<br>- Bulgarian<br>- Burmese (Myanmar)<br>- Catalan<br>- Chinese (Traditional)<br>- Croatian<br>- Czech<br>- Danish<br>- Dutch<br>- English<br>- Estonian<br>- Farsi<br>- Finnish<br>- French<br>- French (Canada)<br>- Galician<br>- Georgian<br>- German | - Greek<br>- Gujarati<br>- Hebrew<br>- Hindi<br>- Hungarian<br>- Icelandic<br>- Indonesian<br>- Italian<br>- Japanese<br>- Javanese<br>- Kannada<br>- Khmer<br>- Korean<br>- Lao<br>- Latvian<br>- Lithuanian<br>- Macedonian<br>- Malay<br>- Malayalam<br>- Marathi<br>- Mongolian<br>- Nepali<br>- Norwegian<br>- Persian<br>- Polish | - Portuguese<br>- Portuguese (Brazil)<br>- Punjabi<br>- Punjabi (Shahmukhi)<br>- Romanian<br>- Russian<br>- Serbian<br>- Sinhala<br>- Slovak<br>- Slovenian<br>- Spanish<br>- Sundanese<br>- Swahili<br>- Swedish<br>- Tagalog<br>- Tamil<br>- Telugu<br>- Thai<br>- Turkish<br>- Ukrainian<br>- Urdu<br>- Uzbek<br>- Vietnamese<br>- Zulu |

To listen to audio from a language you don't understand, connect your headphones to your mobile device and listen to real-time translations in your language.

1. On the Translate app .

   - If you'd like to use Live translate with headphones on your iPhone or iPad, connect your headphones.
2. At the bottom, tap Live translate .
3. Select your desired Live translation mode and languages.
   - Live translation modes
     - **Listening:** Only available when headphones are connected. Connect headphones to hear real-time translations.

     - **Conversation:** Translations play out loud on your phone speakers or headphones. Take turns speaking.

     - **Text only:** Read translations. No audio plays.

     - **Custom settings:** Allows you to choose between text only, speaker, or headphones (if connected).

**Tip:** The microphone automatically detects when one language stops and the other language starts.

4. To hear a translation, tap any part of the text.
5. To pause or resume translation, tap Speak .
6. To exit translation, at the top, tap Back .

**Tip:** Some options may be greyed out depending if you have headphones. If you don’t have headphones connected, the “Listening” option is greyed out.",https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,Make sure that your device is on the latest app version.,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,1,https://support.google.com/translate/answer/6142474?hl=en&co=GENIE.Platform%3DiOS&oco=0,,
https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,Android,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,"You can use your phone’s camera to translate text in the Translate app . For example, you can translate signs or handwritten notes.

## Translate text in images

In the Translate app, you can translate text from images on your phone. With some devices, you can also translate text you find through your camera.

**Important:** The translation accuracy depends on the clarity of the text. Translation of small, unclear, or stylized text may not be accurate.

To translate text with your camera:

1. On your Android phone or tablet, open the Translate app .
2. Choose the languages you want to translate to and from.
   - **From:** Choose a language or tap Detect language.
   - **To:** Select the language you want the translation in.
3. On the app home screen, tap Camera .

   - **To translate text from an image you’ve already captured:** tap All Images .
   - **To translate what you find through your camera:**
     1. Point your camera at the text you want to translate.
     2. Tap Shutter Button .

**Tip:** To freeze the translated text in camera view, tap Shutter .

## Translate part of text

You can select sections of an image to translate.

1. On your Android phone or tablet, open the Translate app .
2. Choose the languages you want to translate to and from.
   - **From:** Choose a language or tap Detect language.
   - **To:** Select the language you want the translation in.
3. Tap Camera   and use the Shutter Button .
4. To view Translate options, tap Expand .

   - Toggle to turn on **S** **how original text**, below the language picker.
5. Select text
   - Tap any word to select it, then drag the selection anchors to adjust the selected text. The translated text will show up in the card.
   - If you turn on **Show original text** it will show the captured text untranslated.

**Tip:** If the text is too long to view in the card, drag the card up.

## Work with translated text

Once the text in an image is translated, you can do things like copy the text, have it read aloud, or send it to Translate Home for more information.

1. Select the part of the text you want to take action on.
2. At the bottom, choose an option from the carousel:
   - **Copy text:** To copy the text, select the text you’d like to copy and tap Copy text .
   - **Listen:** To have Translate read your translated text, tapListen.
   - **Send to Translate Home**: To get more information, tap Send to Translate Home .
   - **Search**: To search translated text on Google, tap  Search .

## Use offline camera translations

To use camera translations offline, download the languages that you want to translate.

1. On your Android phone or tablet, open the Translate app .
2. Tap the Camera .
3. Tap the Language picker.
4. Download the language(s) you’d like your translation in.

After the download is complete, camera translations will work for the downloaded language(s) even when you're disconnected from the internet.

## Get the best results

To get the best translation results for your images:

1. Check that the “Translate from” and “Translate to” languages are correct.
2. Use a strong network connection.
3. In low light, tap Camera Flash .
4. Use clear and commonly used fonts for best results.

## Send feedback

To send feedback, tap **Enter Text** Menu  Send feedback .",https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,"2. Choose the languages you want to translate to and from.
   - **From:** Choose a language or tap Detect language.
   - **To:** Select the language you want the translation in.
3. On the app home screen, tap Camera .

   - **To translate text from an image you’ve already captured:** tap All Images .
   - **To translate what you find through your camera:**
     1. Point your camera at the text you want to translate.
     2. Tap Shutter Button .

**Tip:** To freeze the translated text in camera view, tap Shutter .",https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,,,2,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DAndroid
https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Desktop,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,"You can use your phone’s camera to translate text in the Translate app . For example, you can translate signs or handwritten notes.

## Translate text in images

You can translate text in images from your device on [Google Translate](http://translate.google.com/).

**Important:** The translation accuracy depends on the clarity of the text. Translation of small, unclear, or stylized text may result in lower accuracy.

To translate text within an image:

1. On your browser, go to [Google Translate](http://translate.google.com/).
2. At the top, select the **Images** tab.
3. Choose the language that you want to translate to and from.
   - **From:** Choose a language or select **Detect language**.
   - **To:** Select the language that you want the translation in.
4. To choose an image that you want to translate, click **Browse your computer**.

## Work with translated text

Once the image is translated, you can copy the translated text or download the translated image. In the top corner, click Clear  to start a new image translation.

At the top of the image, choose an option:

- **Show original text:** To show the original text side by side with the translated text, turn on **Show original.**
- **Enlarge translated text:** To make the translated image larger, turn off **Show original**.
- **Copy text:** To copy the translated text, click Copy text .
- **Download translated image:** To download the translated image, click Download translation .

**Tip:** On smaller screens, if “Show original"" is turned on, you won’t be able to check translated text side-by-side.

## Get the best results

To get the best translation results for your images:

- Check that the “Translate from” and “Translate to” languages are correct.
- Upload clear images with commonly used fonts for best results.

## Send feedback

To send feedback, click **Send feedback**.",https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,,,,,2,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DDesktop&oco=0
https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,iOS,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,"You can use your phone’s camera to translate text in the Translate app . For example, you can translate signs or handwritten notes.

## Translate text in images

You can translate text you find through your camera and from images on your phone in the Translate app .

**Important:** The translation accuracy depends on the clarity of the text. Translation of small, unclear, or stylized text may not be correct.

To translate text with your camera:

1. On your iPhone or iPad, open the Translate app .
2. Choose the languages that you want to translate to and from.
   - **From:** At the bottom, choose a language or tap Detect language .
   - **To:** At the bottom, select the language that you want the translation in.
3. Under the text box, tap Camera .

   - **To translate text from an image that you've already captured:** Tap Gallery .
   - **To translate text through your camera:**
     1. Point your camera at the text that you want to translate.
     2. Watch the translation instantly happen.
     3. To pause the image, tap the Shutter button .

## Translate part of text

You can select sections of an image to translate.

1. On your iPhone or iPad, open the Translate app .
2. Select the languages that you want to translate to and from.
   - **From:** At the bottom, select a language or tap Detect language .
   - **To**: At the bottom, select the language that you want the translation in.
3. Tap Camera  the Shutter button .
4. To expand the settings panel, at the top of the page, tap Translate options .
5. Turn on Show original text .
6. To select a word, tap it.
7. To change your selection and display the translated text in the card below, drag the selection anchors.

**Tip:** If the text is too long to view in the card, drag the card up.

## Work with translated text

Once the text in the image is translated, you can perform various actions, like copy the text, have it read aloud, or get more information.

1. Select the part of the text that you want to take action on.
2. At the bottom, choose an option from the carousel:
   - **Copy text:** Select the text that you’d like to copy  Copy text .
   - **Listen:** To have Translate read your translated text, tapListen .
   - **Send to Translate Home:** To get more information, tap Send to Translate Home **.**
   - **Search:** To search translated text on Google, tap Search .

## Use offline camera translations

To use camera translations offline, download the languages that you want to translate to and from.

1. On your iPhone or iPad, open the Translate app .
2. Tap the Camera .
3. Tap the language picker.
4. Download the languages that you like to translate to and from.

## Get the best results

To get the best translation results for your images:

- Check that the “Translate from” and “Translate to” languages are correct.
- Use a strong network connection.
- In low light, tap Camera Flash .
- Use clear and commonly used fonts.

### Send feedback

To send feedback, at the top, tap More **Send Feedback**.",https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,"2. Choose the languages that you want to translate to and from.
   - **From:** At the bottom, choose a language or tap Detect language .
   - **To:** At the bottom, select the language that you want the translation in.
3. Under the text box, tap Camera .

   - **To translate text from an image that you've already captured:** Tap Gallery .
   - **To translate text through your camera:**
     1. Point your camera at the text that you want to translate.
     2. Watch the translation instantly happen.
     3. To pause the image, tap the Shutter button .",https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,,,2,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0,Translate images,https://support.google.com/translate/answer/6142483?hl=en&co=GENIE.Platform%3DiOS&oco=0
https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,Android,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,"You can use the Google Translate app to translate written words or phrases. You can also use Google Translate in a web browser like Chrome or Firefox.

**Important:** To translate in Chrome on your mobile device, you need Javascript. [Learn how to turn on Javascript](https://support.google.com/chrome/answer/114662).

## Translate text

**Important:** Live translation in apps other than the Translate app is only available on Pixel 6 and up. [Learn more about live translation availability](https://support.google.com/pixelphone/answer/11209263).

1. On your Android phone or tablet, open the Translate app .
2. Choose a language to translate to and from.
   - **From:** At the bottom left, tap the language pickup bar.
   - **To:** At the bottom right, tap the language pickup bar.
3. Enter the word or phrase you want to translate.
   - To give the right context to your translation, enter your word or phrase in a complete sentence.
4. The translated content will show up. If the translations don’t show up automatically, tap Translate .

## Listen to your translation

To hear your translation, tap Listen .

### Change your translation voice settings

1. On your Android phone or tablet, open the Translate app .
2. Tap Menu  Settings .
3. Select the voice setting you want to change.
   - **To change the accent:** Tap **Region** and select a region.
   - **To change the speed:** Tap **Speed** and select **Normal**, **Slow**, or **Slower**.

## Share & reverse a translation

1. Enter the word or phrase you want to translate.
2. At the top right, click Menu .

   - **To share the translation:** Click Share .
   - **To reverse the translation:** Click Reverse .",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,"2. Choose a language to translate to and from.
   - **From:** At the bottom left, tap the language pickup bar.
   - **To:** At the bottom right, tap the language pickup bar.
3. Enter the word or phrase you want to translate.
   - To give the right context to your translation, enter your word or phrase in a complete sentence.
4. The translated content will show up. If the translations don’t show up automatically, tap Translate .",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,,,2,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DAndroid
https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Desktop,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,"You can use the Google Translate app to translate written words or phrases. You can also use Google Translate in a web browser like Chrome or Firefox.

**Important:** To translate in Chrome on your mobile device, you need Javascript. [Learn how to turn on Javascript](https://support.google.com/chrome/answer/114662).

## Translate text

1. On your computer, open [Google Translate](https://translate.google.com/).
2. At the top of the screen, select the languages to translate.
   - **From:** Choose a language or select Detect language .
   - **To:** Select the language that you want the translation in.
3. In the text box on the left, enter the text you want to translate.
4. Choose what you want to do:
1. **Look up details:** To check available details for each result, such as definitions, examples, or other translations, click **Look up details**.This is currently available only for selected languages.
2. **Listen:** To hear the translation, click Listen . To change the audio speed, click Settings  at the top right and select **Normal**, **Slow**, or **Slower**.
3. **Copy:** To copy the translation to the clipboard, click Copy translation .
4. **Rate or edit:** Suggested edits can [help improve translations](https://support.google.com/translate/answer/2534530). To rate a translation or suggest an edit, click Thumbs up or Thumbs down .
5. **Share:** To send the translation through email or Twitter, click Share translation .

**Important:** Some words may have different meanings. To help the translation capture your intended meaning, write your word in a phrase or sentence.

## Translate longer text

You can translate up to 5,000 characters at a time when you copy and paste your text.

1. On your computer, open [Google Translate](https://translate.google.com/).
2. At the top of the screen, choose the language that you want to translate to and from.
   - **From:** Choose a language or select **Detect language.**
   - **To:** Select the language that you want the translation in.
3. Copy and paste your text into the text box.
4. You can review sections of translated text. At the bottom bar, click Back  or Forward .

**Tip:** You can also translate [documents and websites.](https://support.google.com/translate/answer/2534559)",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,"2. At the top of the screen, select the languages to translate.
   - **From:** Choose a language or select Detect language .
   - **To:** Select the language that you want the translation in.
3. In the text box on the left, enter the text you want to translate.
4. Choose what you want to do:
1. **Look up details:** To check available details for each result, such as definitions, examples, or other translations, click **Look up details**.This is currently available only for selected languages.
2. **Listen:** To hear the translation, click Listen . To change the audio speed, click Settings  at the top right and select **Normal**, **Slow**, or **Slower**.
3. **Copy:** To copy the translation to the clipboard, click Copy translation .
4. **Rate or edit:** Suggested edits can [help improve translations](https://support.google.com/translate/answer/2534530). To rate a translation or suggest an edit, click Thumbs up or Thumbs down .
5. **Share:** To send the translation through email or Twitter, click Share translation .

**Important:** Some words may have different meanings. To help the translation capture your intended meaning, write your word in a phrase or sentence.",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,,,2,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DDesktop&oco=0
https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,iOS,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,"You can use the Google Translate app to translate written words or phrases. You can also use Google Translate in a web browser like Chrome or Firefox.

**Important:** To translate in Chrome on your mobile device, you need Javascript. [Learn how to turn on Javascript](https://support.google.com/chrome/answer/114662).

1. More

## Translate text

1. On your iPhone or iPad, open the Translate app .
2. Select a language to translate to and from.
   - **From**: At the bottom, select a language or tap Detect language .
   - **To**: At the bottom, select the language that you want the translation in.
3. Enter the word, phrase, or sentence you want to translate.
   - To give the right context to your translation, enter a complete sentence.
4. Check the translation results, which are shown automatically.
   - If you want to get more information, on the keyboard, tap **Go**.

**Tips**:

- To get your results in full screen mode, next to the translation result, tap the More Actions menu  Fullscreen .
- [Learn how to translate web pages in Chrome](https://support.google.com/translate/answer/6142478?co=GENIE.Platform%3DDesktop&oco=1).

## Listen to your translation

To hear your translation aloud, tap Listen .

To change your translation voice settings:

1. On your iPhone or iPad, open the Translate app .
2. Tap Settings .
3. Pick an option. For example:
   - To change accent, tap **Speech region**. Then pick a region.",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,"2. Select a language to translate to and from.
   - **From**: At the bottom, select a language or tap Detect language .
   - **To**: At the bottom, select the language that you want the translation in.
3. Enter the word, phrase, or sentence you want to translate.
   - To give the right context to your translation, enter a complete sentence.
4. Check the translation results, which are shown automatically.
   - If you want to get more information, on the keyboard, tap **Go**.

**Tips**:

- To get your results in full screen mode, next to the translation result, tap the More Actions menu  Fullscreen .
- [Learn how to translate web pages in Chrome](https://support.google.com/translate/answer/6142478?co=GENIE.Platform%3DDesktop&oco=1).",https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,,,2,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0,Translate written words,https://support.google.com/translate/answer/6142478?hl=en&co=GENIE.Platform%3DiOS&oco=0
https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,Android,https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,Download & use Google Translate,https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,"You can translate text, handwriting, photos, and speech in [over 200 languages](https://translate.google.com/intl/en/about/languages/) with the Google Translate app. You can also use Translate on the web.

You can get help from Google Translate in multiple ways. For example, you can say:

- ""Be my Spanish interpreter.""
- ""How do you say 'Good morning' in Swedish?""

## Step 1: Download the Google Translate app

To get started, download the [Google Translate app for Android](https://play.google.com/store/apps/details?id=com.google.android.apps.translate&26hl=en).

**Note:** To translate images with your camera in all supported languages, your device must have an auto-focus camera and a dual-core CPU with ARMv7. For technical details, check your manufacturer’s instructions.

## Step 2: Set up Google Translate

**Tip**: In version 6.10 and up, you can [use a Dark theme in the Translate app](https://support.google.com/android/answer/9730472).

The first time you open Google Translate, you’ll be asked to choose your primary language and the language you translate most often. To pick from available languages, tap the Down arrow .

To download both languages for offline use, leave ""Translate offline"" checked. If either language isn’t available for download, it will say ""Not available offline.""

**Note**: To download a language, by default, you must be connected to a Wi-Fi network.

## Use Google Translate on the web

To use Google Translate on the web, go to [Google Translate](https://translate.google.com/).",https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,"**Note:** To translate images with your camera in all supported languages, your device must have an auto-focus camera and a dual-core CPU with ARMv7. For technical details, check your manufacturer’s instructions.",https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,,,2,https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid,Download & use Google Translate,https://support.google.com/translate/answer/6350850?hl=en&co=GENIE.Platform%3DAndroid
