"sibling-link-descriptor","sibling-link","sibling-link href"
"1 of 18","Make phone calls with Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/7559108?hl=en&ref_topic=7558549"
"2 of 18","Get help from Google Assistant on Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/7560032?hl=en&ref_topic=7558549"
"3 of 18","Translate with Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/7573100?sjid=11289064663537674469-NA#"
"4 of 18","Automatically adjust your sound with Adaptive Sound","https://support.google.com/googlepixelbuds/answer/9642077?hl=en&ref_topic=7558549"
"5 of 18","Use Attention Alerts with Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/9642883?hl=en&ref_topic=7558549"
"6 of 18","Manage in-ear detection","https://support.google.com/googlepixelbuds/answer/9642984?hl=en&ref_topic=7558549"
"7 of 18","Find your Pixel Buds","https://support.google.com/googlepixelbuds/answer/9642885?hl=en&ref_topic=7558549"
"8 of 18","Update your Pixel Buds firmware and web companion app","https://support.google.com/googlepixelbuds/answer/9642078?hl=en&ref_topic=7558549"
"9 of 18","Get more bass with bass boost on your Pixel Buds","https://support.google.com/googlepixelbuds/answer/10028011?hl=en&ref_topic=7558549"
"10 of 18","Compare Pixel Buds","https://support.google.com/googlepixelbuds/answer/10595435?hl=en&ref_topic=7558549"
"11 of 18","Customize the bass on your Google Pixel Buds A-Series & Google Pixel Buds Pro","https://support.google.com/googlepixelbuds/answer/11439534?hl=en&ref_topic=7558549"
"12 of 18","Customize EQ with Google Pixel Buds Pro 2 and Pixel Buds 2a","https://support.google.com/googlepixelbuds/answer/12045780?hl=en&ref_topic=7558549"
"13 of 18","Use Active Noise Control on Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/12312672?hl=en&ref_topic=7558549"
"14 of 18","Use Multipoint and audio switch on Google Pixel Buds 2a and Pro","https://support.google.com/googlepixelbuds/answer/12319417?hl=en&ref_topic=7558549"
"15 of 18","Use Spatial Audio and head tracking","https://support.google.com/googlepixelbuds/answer/12921041?hl=en&ref_topic=7558549"
"16 of 18","Hearing Wellness","https://support.google.com/googlepixelbuds/answer/14005705?hl=en&ref_topic=7558549"
"17 of 18","Use Gemini on Google Pixel Buds","https://support.google.com/googlepixelbuds/answer/15449571?hl=en&ref_topic=7558549"
"18 of 18","Set up Google Assistant on headphones","https://support.google.com/googlepixelbuds/answer/9027902?hl=en&ref_topic=7558549"
