"pgcu-post__title","pgcu-post__title href","pgcu-post__meta","pgcu-post__meta__categories","pgcu-post__excerpt"
"Delta City Council approves donations, city attorney matches one","https://www.garfieldhecht.com/delta-city-council-approves-donations-city-attorney-matches-one/","June 1, 2026","News","Click here for the full story. David McConaughy, Managing Shareholder, Garfield & Hecht"
"Celebrating 50 Years","https://www.garfieldhecht.com/celebrating-50-years/","December 2, 2025","News","Ron and Andy both arrived in Aspen in the early 1970s. Andy first worked for attorney Dwight Shellman, who was later elected a County Commissioner, whose office was then located on the second floor of…"
"Title Lock Debunked","https://www.garfieldhecht.com/title-lock-debunked/","October 15, 2025","News","Introduction Television and online ads that claim to protect homeowners from title theft should not exist. Companies like Home Title Lock market themselves as subscription services that “lock” a homeowner’s title, claiming to provide around-the-clock…"
"Historic Day in Town of Mountain Village","https://www.garfieldhecht.com/historic-day-in-town-of-mountain-village/","October 8, 2025","News","Paul Wisor, Mountain Village Town Manager https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376757988830691328/?midToken=AQEmhTEsgy6STQ&midSig=2SZSVFEvaghHY1&trk=eml-email_notification_single_mentioned_you_in_this_01-hero_notification_cta-0-1ep~cta&trkEmail=eml-email_notification_single_mentioned_you_in_this_01-hero_notification_cta-0-1ep~cta-null-ie6uk~mfynx3h6~m0-null-null&eid=ie6uk-mfynx3h6-m0"
"New Designation Affects Groundwater Wells in the White River Basin, Colorado on May 1, 2025","https://www.garfieldhecht.com/new-designation-affects-groundwater-wells-in-the-white-river-basin-colorado-on-may-1-2025/","April 8, 2025","Nicole Garrimone-Compagna","White River Basin Designated as Over-Appropriated The Colorado State Engineer recently designated the White River and its tributaries above Taylor Draw Reservoir as over-appropriated. A stream system is considered over-appropriated when there isn’t enough water…"
"Garfield & Hecht, P.C. Opens Telluride Office","https://www.garfieldhecht.com/garfield-hecht-p-c-opens-telluride-office/","October 8, 2024","News","Celebrating its 50th year as a top-flight law firm in Colorado, Garfield & Hecht recently opened its new office in the scenic and bustling town of Telluride. Founded in Aspen in 1975, Garfield & Hecht has…"
"New Law Makes Eviction More Difficult for Landlords: Colorado Adopts “For Cause” Eviction Standards","https://www.garfieldhecht.com/new-law-makes-eviction-more-difficult-for-landlords-colorado-adopts-for-cause-eviction-standards/","August 2, 2024","News","On April 19, 2024, Governor Jared Polis signed House Bill 24-1098 (the “Bill”) into law. The Bill severely restricts the ability of landlords to initiate eviction actions and terminate tenancies. I. How does the Bill…"
"Garfield & Hecht in the News","https://www.garfieldhecht.com/garfieldhecht-in-the-news/","June 19, 2024","Haley Carmer","Snowmass Town Council denies request to abandon workforce housing plans Click here to view the full article on Aspen Times Eagle County considers equestrian operation at Missouri Heights Click here to view the full article…"
"Congratulations to David McConaughy, appointed as Ophir Town Attorney.","https://www.garfieldhecht.com/congratulations-to-david-mcconaughy-appointed-as-ophir-town-attorney/","June 19, 2024","News","The Town of Ophir sits at 9,625 feet above sea level in the heart of the San Juan Mountains. With a population of 180 humans and 51 dogs, it is one of only two municipalities…"
"New FTC Rule Severely Restricts Non-Compete Clauses: Are Non-Compete Clauses Still Enforceable in Colorado?","https://www.garfieldhecht.com/new-ftc-rule-severely-restricts-non-compete-clauses-are-non-compete-clauses-still-enforceable-in-colorado/","June 17, 2024","Kelcey Nichols","What is the new Federal Trade Commission Rule regarding Non-Compete Clauses? The new rule prohibits non-compete agreements except in very limited circumstances. The FTC views non-compete clauses as an “unfair method of competition.” What is…"
"A Landlord and Tenant’s Guide to Support Animals","https://www.garfieldhecht.com/a-landlord-and-tenants-guide-to-support-animals/","May 16, 2024","Leah M. Gallant","Colorado, like all other states, must comply with federal regulations regarding support animals. This article answers some of the most commonly asked questions about the rights and obligations of both landlords and tenants when it…"
"Legislation Seeks to Extend Deadlines for Corporate Transparency Act Compliance","https://www.garfieldhecht.com/legislation-seeks-to-extend-deadlines-for-corporate-transparency-act-compliance/","April 23, 2024","Trent Lauridson","On August 1, 2023, sponsors introduced the “Protect Small Business and Prevent Illicit Financial Activity Act” (H.R. 5119), to the United States House of Representatives, which eventually passed the Act and referred it to the…"
